Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-02-1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,59.650769230769235,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",21-02-1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,450.0,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22-02-1961,3:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09-03-1961,6:29:00,Vostok,Korabl-Sputnik 4,Retired,108.84232047397124,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",24-03-1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,450.0,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25-03-1961,5:54:00,Vostok,Korabl-Sputnik 5,Retired,108.84232047397124,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",25-03-1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,59.650769230769235,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30-03-1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,59.650769230769235,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08-04-1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,59.650769230769235,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-04-1961,6:07:00,Vostok,Vostok 1,Retired,108.84232047397124,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",25-04-1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,450.0,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",05-05-1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,450.0,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",08-06-1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,59.650769230769235,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",16-06-1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,59.650769230769235,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",29-06-1961,4:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,59.650769230769235,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",30-06-1961,17:09:00,Scout X-1,Explorer (S-55),Retired,450.0,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",07-07-1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,59.650769230769235,Success
